iter	RMSE
353	164.9751708
354	164.7534845
355	164.3860116
356	164.0511791
357	163.8038044
358	163.7527031
359	163.5706326
360	163.3530278
361	163.0844592
362	162.8925519
363	162.6836368
364	162.4269102
365	162.1632984
366	161.9083306
367	161.7734073
368	161.5717007
369	161.3279289
370	161.1673126
371	160.968885
372	160.8226821
373	160.6827212
374	160.4858333
375	160.3512569
376	160.1143221
377	159.8094739
378	159.6371693
379	159.5260647
380	159.2828507
381	159.0550448
382	158.9434438
383	158.7579489
384	158.5043994
385	158.3634824
386	158.1615441
387	158.1156441
388	157.9064761
389	157.7518762
390	157.7077243
391	157.6406291
392	157.4643396
393	157.4176056
394	157.2006397
395	157.0630428
396	157.0223505
397	156.9812628
398	156.7647561
399	156.7272828
400	156.5747147
401	156.5349209
402	156.4138389
403	156.2528731
404	156.0996832
405	155.8844083
406	155.8168484
407	155.69146
408	155.4239269
409	155.1559287
410	154.8973962
411	154.860029
412	154.7393102
413	154.6043426
414	154.3542084
415	154.1548107
416	153.9971831
417	153.8791468
418	153.6579278
419	153.6157007
420	153.4234547
421	153.2291517
422	153.1946731
423	153.1591188
424	152.9669381
425	152.8234376
426	152.7250232
427	152.6241483
428	152.4176576
429	152.2285315
430	152.0487702
431	152.0091392
432	151.8874581
433	151.7986939
434	151.636826
435	151.5802131
436	151.3860402
437	151.1483405
438	150.9429078
439	150.8583
440	150.7419335
441	150.6217413
442	150.4289196
443	150.2810243
444	150.1339164
445	150.0198775
446	149.7670919
447	149.6070854
448	149.4566713
449	149.2651532
450	149.1822609
451	148.9138925
452	148.7247298
453	148.5211765
454	148.4530527
455	148.2828604
456	148.2266014
457	148.0553208
458	147.903891
459	147.8114352
460	147.6831982
461	147.4639883
462	147.420177
463	147.311394
464	147.2056041
465	147.1461
466	147.0750662
467	146.8397604
468	146.7237838
469	146.5257744
470	146.3842799
471	146.2145043
472	146.1840582
473	145.8771904
474	145.6528973
475	145.5815853
476	145.4681217
477	145.383653
478	145.2584073
479	145.0737899
480	144.9777
481	144.8702704
482	144.6570971
483	144.5934669
484	144.4535159
485	144.204482
486	144.0438658
487	143.8414158
488	143.810354
489	143.6494849
490	143.4894223
491	143.3581308
492	143.257409
493	143.086175
494	143.0267518
495	142.7655327
496	142.6131067
497	142.5760075
498	142.4990354
499	142.3598235
500	142.2568829
501	142.1000458
502	142.0667934
503	141.9630933
504	141.8760153
505	141.752955
506	141.6581928
507	141.582941
508	141.4316547
509	141.2706294
510	141.1786906
511	141.1492108
512	140.9924113
513	140.8649427
514	140.7675268
515	140.7024488
516	140.5919822
517	140.4460135
518	140.2247845
519	139.9962956
520	139.8210883
521	139.7441434
522	139.7201251
523	139.6766863
524	139.5515193
525	139.4494855
